households_space_heater_electricity, households_heating_electric_heater_share
households_space_heater_heatpump_ground_water_electricity, households_heating_heat_pump_ground_share
households_space_heater_wood_pellets, households_heating_pellet_stove_share
households_space_heater_coal, households_heating_coal_fired_heater_share
households_space_heater_crude_oil, households_heating_oil_fired_heater_share
households_space_heater_heatpump_air_water_electricity, households_space_heater_heatpump_air_water_electricity_share
households_space_heater_micro_chp_network_gas, households_heating_micro_chp_share
households_space_heater_network_gas, households_heating_gas_fired_heater_share
households_water_heater_resistive_electricity, households_hot_water_electric_boiler_share
households_water_heater_wood_pellets, households_hot_water_biomass_heater_share
households_water_heater_coal, households_hot_water_coal_fired_heater_hotwater_share
households_water_heater_crude_oil, households_hot_water_oil_fired_heater_share
households_water_heater_network_gas, households_hot_water_gas_water_heater_share
households_water_heater_micro_chp_network_gas, households_hot_water_micro_chp_share
households_water_heater_fuel_cell_chp_network_gas, households_hot_water_fuel_cell_share
households_water_heater_heatpump_air_water_electricity, households_water_heater_heatpump_air_water_electricity_share
