buildings_collective_geothermal,buildings_collective_geothermal_share
buildings_collective_chp_gas_power_fuelmix,buildings_collective_chp_network_gas_share
buildings_collective_chp_wood_pellets,buildings_collective_chp_wood_pellets_share
buildings_cooling_airconditioning,buildings_cooling_airconditioning_share
buildings_cooling_collective_heatpump_water_water_ts_electricity,buildings_cooling_collective_heatpump_water_water_ts_electricity_share
buildings_cooling_heatpump_air_water_network_gas,buildings_cooling_heatpump_air_water_network_gas_share
buildings_solar_pv_solar_radiation,number_of_households_solar_pv_solar_radiation_fixed
buildings_space_heater_coal,number_of_other_burner_coal
buildings_space_heater_collective_heatpump_water_water_ts_electricity,buildings_space_heater_collective_heatpump_water_water_ts_electricity_share
buildings_space_heater_crude_oil,buildings_space_heater_crude_oil_share
buildings_space_heater_electricity,buildings_space_heater_electricity_share
buildings_space_heater_heatpump_air_water_network_gas,buildings_space_heater_heatpump_air_water_network_gas_share
buildings_space_heater_network_gas,buildings_space_heater_wood_pellets_share
buildings_space_heater_solar_thermal,buildings_space_heater_solar_thermal_share
buildings_space_heater_wood_pellets,buildings_space_heater_wood_pellets_share
energy_chp_combined_cycle_gas_power_fuelmix,number_of_energy_chp_combined_cycle_network_gas
energy_chp_ultra_supercritical_coal,number_of_energy_chp_ultra_supercritical_coal
energy_chp_ultra_supercritical_lignite,number_of_energy_chp_ultra_supercritical_lignite
energy_power_combined_cycle_ccs_coal,number_of_energy_power_combined_cycle_ccs_coal
energy_power_combined_cycle_ccs_gas_power_fuelmix,number_of_energy_power_combined_cycle_ccs_network_gas
energy_power_combined_cycle_coal,number_of_energy_power_combined_cycle_coal
energy_power_combined_cycle_gas_power_fuelmix,number_of_energy_power_combined_cycle_network_gas
energy_power_geothermal,number_of_energy_power_geothermal
energy_power_nuclear_gen3_uranium_oxide,number_of_energy_power_nuclear_gen3_uranium_oxide
energy_power_solar_pv_solar_radiation,number_of_energy_power_solar_pv_solar_radiation
energy_power_supercritical_coal,number_of_energy_power_supercritical_coal
energy_power_supercritical_waste_mix,number_of_energy_power_supercritical_waste_mix
energy_power_turbine_network_gas,number_of_energy_power_turbine_network_gas
energy_power_ultra_supercritical_ccs_coal,number_of_energy_power_ultra_supercritical_ccs_coal
energy_power_ultra_supercritical_coal,number_of_energy_power_ultra_supercritical_coal
energy_power_ultra_supercritical_cofiring_wood_pellets,number_of_co_firing_coal
energy_power_ultra_supercritical_crude_oil,number_of_energy_power_ultra_supercritical_crude_oil
energy_power_ultra_supercritical_gas_power_fuelmix,number_of_energy_power_ultra_supercritical_network_gas
energy_power_ultra_supercritical_lignite,number_of_energy_power_ultra_supercritical_lignite
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,number_of_energy_power_ultra_supercritical_oxyfuel_ccs_lignite
energy_power_wind_turbine_coastal,number_of_energy_power_wind_turbine_coastal
energy_power_wind_turbine_inland,number_of_energy_power_wind_turbine_inland
energy_power_wind_turbine_offshore,number_of_energy_power_wind_turbine_offshore
households_collective_geothermal,households_collective_geothermal_share
households_collective_chp_network_gas,households_collective_chp_network_gas_share
households_collective_chp_wood_pellets,households_collective_chp_wood_pellets_share
households_cooling_airconditioning_electricity,households_cooling_airconditioning_electricity_share
households_cooling_heatpump_air_water_electricity,households_cooling_heatpump_air_water_electricity_share
households_cooling_heatpump_ground_water_electricity,households_cooling_heatpump_ground_water_electricity_share
households_solar_pv_solar_radiation,number_of_households_solar_pv_solar_radiation_fixed
households_space_heater_coal,households_space_heater_coal_share
households_space_heater_heatpump_air_water_electricity,households_space_heater_heatpump_air_water_electricity_share
households_space_heater_combined_network_gas,households_space_heater_combined_network_gas_share
households_space_heater_crude_oil,households_space_heater_crude_oil_share
households_space_heater_district_heating_steam_hot_water,households_space_heater_district_heating_steam_hot_water_share
households_space_heater_electricity,households_space_heater_electricity_share
households_space_heater_heatpump_ground_water_electricity,households_space_heater_heatpump_ground_water_electricity_share
households_space_heater_micro_chp_network_gas,households_space_heater_micro_chp_network_gas_share
households_space_heater_network_gas,households_space_heater_network_gas_share
households_space_heater_wood_pellets,households_space_heater_wood_pellets_share
households_water_heater_coal,households_water_heater_coal_share
households_water_heater_combined_network_gas,households_water_heater_combined_network_gas_share
households_water_heater_crude_oil,households_water_heater_crude_oil_share
households_water_heater_district_heating_steam_hot_water,households_water_heater_district_heating_steam_hot_water_share
households_water_heater_fuel_cell_chp_network_gas,households_water_heater_fuel_cell_chp_network_gas_share
households_water_heater_heatpump_air_water_electricity,households_water_heater_heatpump_air_water_electricity_share
households_water_heater_heatpump_ground_water_electricity,households_water_heater_heatpump_ground_water_electricity_share
households_water_heater_micro_chp_network_gas,households_water_heater_micro_chp_network_gas_share
households_water_heater_resistive_electricity,households_water_heater_resistive_electricity_share
households_water_heater_solar_thermal,households_water_heater_solar_thermal_share
households_water_heater_wood_pellets,households_water_heater_wood_pellets_share
