energy_power_ultra_supercritical_network_gas,29085600
energy_power_hv_network_electricity,47926596.97
energy_power_ultra_supercritical_crude_oil,49359622.37
energy_power_hydro_mountain,51155234.43
energy_power_combined_cycle_ccs_network_gas,76566794.3
energy_power_ultra_supercritical_lignite,112037800
energy_power_ultra_supercritical_cofiring_coal,117461956.6
energy_chp_ultra_supercritical_lignite,129225833.3
energy_chp_ultra_supercritical_cofiring_coal,135592935.3
energy_power_ultra_supercritical_ccs_coal,137557916.7
energy_power_combined_cycle_network_gas,152735077.3
energy_power_combined_cycle_coal,157393563.7
energy_power_supercritical_coal,178439119.5
energy_power_combined_cycle_ccs_coal,178999174
energy_power_ultra_supercritical_coal,184005277.8
energy_chp_ultra_supercritical_coal,206419387.6
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,240498185.1
energy_power_nuclear_gen2_uranium_oxide,389718771.8
energy_power_nuclear_gen3_uranium_oxide,552526594.8
